date,home_team_id,away_team_id,home_goals,away_goals,stage,competition,neutral
2024-06-15,ESP,CRO,3,0,group,euro2024,true
2024-06-16,FRA,AUT,1,0,group,euro2024,true
2024-06-17,BEL,SVK,0,1,group,euro2024,true
2024-06-20,GER,HUN,2,0,group,euro2024,true
2024-06-21,ESP,ITA,1,0,group,euro2024,true
2024-06-23,FRA,POL,1,1,group,euro2024,true
2024-06-25,ENG,SVN,0,0,group,euro2024,true
2024-07-05,ESP,GER,2,1,knockout,euro2024,true
2024-07-06,POR,FRA,0,0,knockout,euro2024,true
2024-07-09,ESP,FRA,2,1,knockout,euro2024,true
2024-07-14,ESP,ENG,2,1,final,euro2024,true
2024-06-20,ARG,CHI,1,0,group,copa2024,true
2024-06-25,COL,PAR,2,1,group,copa2024,true
2024-06-26,BRA,PAR,4,1,group,copa2024,true
2024-06-28,URU,BOL,5,0,group,copa2024,true
2024-07-04,ARG,ECU,1,1,knockout,copa2024,true
2024-07-06,URU,BRA,0,0,knockout,copa2024,true
2024-07-09,ARG,CAN,2,0,knockout,copa2024,true
2024-07-10,COL,URU,1,0,knockout,copa2024,true
2024-07-14,ARG,COL,1,0,final,copa2024,true
2024-09-07,GER,HUN,5,0,nationsleague,unl,false
2024-10-14,ENG,FIN,3,1,nationsleague,unl,false
2024-11-17,NED,BIH,4,1,nationsleague,unl,false
2025-03-23,FRA,CRO,2,0,knockout,unl,false
2025-03-23,ESP,NED,3,3,knockout,unl,false
2025-06-08,POR,ESP,2,2,final,unl,true
2024-01-15,SEN,GAM,3,0,group,afcon2023,true
2024-01-18,EGY,GHA,2,2,group,afcon2023,true
2024-02-07,CIV,COD,1,0,knockout,afcon2023,true
2024-02-11,CIV,NGA,2,1,final,afcon2023,true
2024-02-03,QAT,UZB,1,1,knockout,asiancup,true
2024-02-07,IRN,QAT,2,3,knockout,asiancup,true
2024-02-10,QAT,JOR,3,1,final,asiancup,true
2025-03-25,ARG,BRA,4,1,qualifier,wcq,false
2025-06-10,USA,MEX,1,2,friendly,intl,true
2025-09-09,JPN,KOR,1,1,friendly,intl,true
2025-10-14,MAR,SEN,1,0,friendly,intl,true
2025-11-18,CRO,ITA,2,2,friendly,intl,true
2026-03-26,NED,GER,1,3,friendly,intl,true
