fetched_at,date,home_team_id,away_team_id,odds_home,odds_draw,odds_away
2026-06-20T15:27:46+00:00,2026-06-20,GER,CIV,1.54,5.0,7.2
2026-06-20T15:27:46+00:00,2026-06-20,NED,SWE,1.8,4.3,5.0
2026-06-20T15:27:46+00:00,2026-06-21,BEL,IRN,1.48,5.0,8.8
2026-06-20T15:27:46+00:00,2026-06-21,ECU,CUW,1.17,10.5,28.99
2026-06-20T15:27:46+00:00,2026-06-21,ESP,SAU,1.13,12.5,35.97
2026-06-20T15:27:46+00:00,2026-06-21,TUN,JPN,7.6,4.3,1.6
2026-06-20T15:27:46+00:00,2026-06-21,URU,CPV,1.49,4.6,10.5
2026-06-20T15:27:46+00:00,2026-06-22,ARG,AUT,1.63,4.3,7.0
2026-06-20T15:27:46+00:00,2026-06-22,FRA,IRQ,1.12,13.5,38.02
2026-06-20T15:27:46+00:00,2026-06-22,NZL,EGY,6.2,4.4,1.66
2026-06-20T15:27:46+00:00,2026-06-23,ENG,GHA,1.25,7.2,17.51
2026-06-20T15:27:46+00:00,2026-06-23,JOR,ALG,6.6,4.4,1.63
2026-06-20T15:27:46+00:00,2026-06-23,NOR,SEN,2.36,3.65,3.4
2026-06-20T15:27:46+00:00,2026-06-23,PAN,CRO,7.4,4.3,1.6
2026-06-20T15:27:46+00:00,2026-06-23,POR,UZB,1.24,7.8,18.0
2026-06-20T15:27:46+00:00,2026-06-24,COL,COD,1.57,4.4,8.0
2026-06-20T15:27:46+00:00,2026-06-24,MAR,HAI,1.23,8.0,19.5
2026-06-20T15:27:46+00:00,2026-06-24,SCO,BRA,9.0,5.6,1.42
2026-06-20T15:27:46+00:00,2026-06-24,SUI,CAN,2.58,3.2,3.4
2026-06-20T15:27:46+00:00,2026-06-25,CUW,CIV,26.0,10.5,1.18
2026-06-20T15:27:46+00:00,2026-06-25,CZE,MEX,3.75,4.2,2.1
2026-06-20T15:27:46+00:00,2026-06-25,ECU,GER,5.3,4.1,1.79
2026-06-20T15:27:46+00:00,2026-06-25,JPN,SWE,2.34,3.6,3.5
2026-06-20T15:27:46+00:00,2026-06-25,RSA,KOR,6.4,4.2,1.67
2026-06-20T15:27:46+00:00,2026-06-25,TUN,NED,12.0,6.4,1.35
2026-06-20T15:27:46+00:00,2026-06-26,NOR,FRA,4.8,4.2,1.87
2026-06-20T15:27:46+00:00,2026-06-26,PAR,AUS,2.94,2.4,4.4
2026-06-20T15:27:46+00:00,2026-06-26,SEN,IRQ,1.35,6.2,13.5
2026-06-20T15:27:46+00:00,2026-06-26,TUR,USA,3.4,4.2,2.36
2026-06-20T15:27:46+00:00,2026-06-27,COD,UZB,2.16,4.2,3.55
2026-06-20T15:27:46+00:00,2026-06-27,COL,POR,3.95,3.8,2.18
2026-06-20T15:27:46+00:00,2026-06-27,CPV,SAU,2.96,3.85,2.52
2026-06-20T15:27:46+00:00,2026-06-27,CRO,GHA,1.69,3.9,6.8
2026-06-20T15:27:46+00:00,2026-06-27,EGY,IRN,2.16,3.45,4.4
2026-06-20T15:27:46+00:00,2026-06-27,NZL,BEL,16.0,7.4,1.28
2026-06-20T15:27:46+00:00,2026-06-27,PAN,ENG,15.0,7.8,1.27
2026-06-20T15:27:46+00:00,2026-06-27,URU,ESP,6.8,4.8,1.6
2026-06-20T15:27:46+00:00,2026-06-28,ALG,AUT,3.3,3.25,2.78
2026-06-20T15:27:46+00:00,2026-06-28,JOR,ARG,17.01,8.8,1.24
2026-06-30T14:47:00+00:00,2026-06-30,CIV,NOR,3.85,3.5,2.22
2026-06-30T14:47:00+00:00,2026-06-30,FRA,SWE,1.31,6.6,14.01
2026-06-30T14:47:00+00:00,2026-07-01,BEL,SEN,2.3,3.35,3.9
2026-06-30T14:47:00+00:00,2026-07-01,ENG,COD,1.31,5.8,17.5
2026-06-30T14:47:00+00:00,2026-07-01,MEX,ECU,2.38,2.94,4.3
2026-06-30T14:47:00+00:00,2026-07-02,ESP,AUT,1.36,5.6,12.5
2026-06-30T14:47:00+00:00,2026-07-02,POR,CRO,1.85,3.7,5.5
2026-06-30T14:47:00+00:00,2026-07-03,ARG,CPV,1.2,8.8,25.0
2026-06-30T14:47:00+00:00,2026-07-03,AUS,EGY,3.55,3.0,2.64
2026-06-30T14:47:00+00:00,2026-07-03,SUI,ALG,2.18,3.35,4.3
2026-06-30T14:47:00+00:00,2026-07-04,CAN,MAR,5.7,3.7,1.83
2026-06-30T14:47:00+00:00,2026-07-04,COL,GHA,1.57,4.2,8.6
2026-07-01T09:44:20+00:00,2026-07-01,BEL,SEN,2.24,3.45,3.95
2026-07-01T09:44:20+00:00,2026-07-01,ENG,COD,1.33,5.6,17.5
2026-07-01T09:44:20+00:00,2026-07-02,ESP,AUT,1.36,5.5,12.5
2026-07-01T09:44:20+00:00,2026-07-02,POR,CRO,1.86,3.7,5.5
2026-07-01T09:44:20+00:00,2026-07-03,ARG,CPV,1.19,8.6,25.0
2026-07-01T09:44:20+00:00,2026-07-03,AUS,EGY,3.6,2.98,2.62
2026-07-01T09:44:20+00:00,2026-07-03,SUI,ALG,2.1,3.4,4.5
2026-07-01T09:44:20+00:00,2026-07-04,CAN,MAR,5.3,3.65,1.88
2026-07-01T09:44:20+00:00,2026-07-04,COL,GHA,1.57,4.2,8.6
2026-07-01T09:44:20+00:00,2026-07-04,PAR,FRA,22.0,8.0,1.21
2026-07-01T09:44:20+00:00,2026-07-05,BRA,NOR,2.0,3.75,4.5
2026-07-01T23:56:59+00:00,2026-07-02,ESP,AUT,1.36,5.7,12.5
2026-07-01T23:56:59+00:00,2026-07-02,POR,CRO,1.82,3.8,5.5
2026-07-01T23:56:59+00:00,2026-07-03,ARG,CPV,1.2,8.6,25.0
2026-07-01T23:56:59+00:00,2026-07-03,AUS,EGY,3.6,3.0,2.62
2026-07-01T23:56:59+00:00,2026-07-03,SUI,ALG,2.16,3.35,4.4
2026-07-01T23:56:59+00:00,2026-07-04,CAN,MAR,5.6,3.6,1.86
2026-07-01T23:56:59+00:00,2026-07-04,COL,GHA,1.57,4.2,8.6
2026-07-01T23:56:59+00:00,2026-07-04,PAR,FRA,23.0,7.8,1.21
2026-07-01T23:56:59+00:00,2026-07-05,BRA,NOR,1.97,3.8,4.5
2026-07-01T23:56:59+00:00,2026-07-06,MEX,ENG,3.45,3.25,2.54
2026-07-02T08:55:32+00:00,2026-07-02,ESP,AUT,1.36,5.6,13.0
2026-07-02T08:55:32+00:00,2026-07-02,POR,CRO,1.81,3.85,5.6
2026-07-02T08:55:32+00:00,2026-07-03,ARG,CPV,1.19,8.8,26.0
2026-07-02T08:55:32+00:00,2026-07-03,AUS,EGY,3.65,3.0,2.6
2026-07-02T08:55:32+00:00,2026-07-03,SUI,ALG,2.1,3.35,4.6
2026-07-02T08:55:32+00:00,2026-07-04,CAN,MAR,5.6,3.6,1.85
2026-07-02T08:55:32+00:00,2026-07-04,COL,GHA,1.57,4.2,8.6
2026-07-02T08:55:32+00:00,2026-07-04,PAR,FRA,24.0,8.0,1.21
2026-07-02T08:55:32+00:00,2026-07-05,BRA,NOR,1.96,3.8,4.5
2026-07-02T08:55:32+00:00,2026-07-06,MEX,ENG,3.2,3.3,2.62
2026-07-02T08:55:32+00:00,2026-07-07,USA,BEL,2.68,3.6,2.92
2026-07-02T18:42:49+00:00,2026-07-02,ESP,AUT,1.38,5.5,12.5
2026-07-02T18:42:49+00:00,2026-07-02,POR,CRO,1.74,3.9,6.2
2026-07-02T18:42:49+00:00,2026-07-03,ARG,CPV,1.19,9.2,26.0
2026-07-02T18:42:49+00:00,2026-07-03,AUS,EGY,3.6,3.0,2.62
2026-07-02T18:42:49+00:00,2026-07-03,SUI,ALG,2.04,3.45,4.8
2026-07-02T18:42:49+00:00,2026-07-04,CAN,MAR,5.7,3.65,1.83
2026-07-02T18:42:49+00:00,2026-07-04,COL,GHA,1.53,4.3,9.2
2026-07-02T18:42:49+00:00,2026-07-04,PAR,FRA,25.0,8.0,1.21
2026-07-02T18:42:49+00:00,2026-07-05,BRA,NOR,1.94,3.8,4.7
2026-07-02T18:42:49+00:00,2026-07-06,MEX,ENG,3.3,3.35,2.58
